acc,loss,val_acc,val_loss,learning_rate
0.6745396256446838,0.5889039635658264,0.17928729951381683,1.9044803380966187,4.999999873689376e-05
0.7690151929855347,0.46272334456443787,0.37082403898239136,1.3732339143753052,4.999999873689376e-05
0.8178542852401733,0.38274040818214417,0.3685968816280365,1.3653755187988281,4.999999873689376e-05
0.8402721881866455,0.3380464017391205,0.7516703605651855,0.4712866544723511,4.999999873689376e-05
0.8654924035072327,0.2880993187427521,0.7249442934989929,0.5190841555595398,4.999999873689376e-05
0.8807045817375183,0.25560063123703003,0.730512261390686,0.5234972238540649,4.999999873689376e-05
0.895916759967804,0.22562679648399353,0.8106904029846191,0.44274964928627014,4.999999873689376e-05
0.9271417260169983,0.1766594648361206,0.7605790495872498,0.5267419219017029,4.999999873689376e-05
0.9255404472351074,0.17077504098415375,0.6870824098587036,0.7911663055419922,4.999999873689376e-05
0.9335468411445618,0.16645319759845734,0.7494432330131531,0.6100799441337585,4.999999873689376e-05
0.9311448931694031,0.14527039229869843,0.7293986678123474,0.642863392829895,9.999999747378752e-06
0.9491593241691589,0.12098901718854904,0.74387526512146,0.6340495944023132,9.999999747378752e-06
0.9571657180786133,0.10408638417720795,0.7672605514526367,0.5847765803337097,9.999999747378752e-06
0.9579663872718811,0.09703747183084488,0.7661470174789429,0.6171745657920837,1.9999999949504854e-06
0.9491593241691589,0.10189388692378998,0.7405345439910889,0.6779334545135498,1.9999999949504854e-06
